Language|भाषा|भाषा|ભાષા|மொழி|భాష|ভাষা|ಭಾಷೆ
Full name|पूरा नाम|पूर्ण नाव|પૂરું નામ|முழுப் பெயர்|పూర్తి పేరు|পুরো নাম|ಪೂರ್ಣ ಹೆಸರು
Mobile number|मोबाइल नंबर|मोबाइल क्रमांक|મોબાઇલ નંબર|கைப்பேசி எண்|మొబైల్ నంబర్|মোবাইল নম্বর|ಮೊಬೈಲ್ ಸಂಖ್ಯೆ
Email|ईमेल|ईमेल|ઈમેલ|மின்னஞ்சல்|ఇమెయిల్|ইমেল|ಇಮೇಲ್
Password|पासवर्ड|पासवर्ड|પાસવર્ડ|கடவுச்சொல்|పాస్‌వర్డ్|পাসওয়ার্ড|ಪಾಸ್‌ವರ್ಡ್
Age|आयु|वय|ઉંમર|வயது|వయస్సు|বয়স|ವಯಸ್ಸು
Gender|लिंग|लिंग|લિંગ|பாலினம்|లింగం|লিঙ্গ|ಲಿಂಗ
Social Category|सामाजिक श्रेणी|सामाजिक प्रवर्ग|સામાજિક શ્રેણી|சமூகப் பிரிவு|సామాజిక వర్గం|সামাজিক শ্রেণি|ಸಾಮಾಜಿಕ ವರ್ಗ
State|राज्य|राज्य|રાજ્ય|மாநிலம்|రాష్ట్రం|রাজ্য|ರಾಜ್ಯ
District|जिला|जिल्हा|જિલ્લો|மாவட்டம்|జిల్లా|জেলা|ಜಿಲ್ಲೆ
Disability|दिव्यांगता|दिव्यांगत्व|દિવ્યાંગતા|மாற்றுத்திறன்|వైకల్యం|প্রতিবন্ধিতা|ಅಂಗವೈಕಲ್ಯ
Residence|निवास क्षेत्र|निवास क्षेत्र|નિવાસ વિસ્તાર|வசிப்பிடம்|నివాస ప్రాంతం|বাসস্থান|ವಾಸಸ್ಥಳ
Male|पुरुष|पुरुष|પુરુષ|ஆண்|పురుషుడు|পুরুষ|ಪುರುಷ
Female|महिला|स्त्री|સ્ત્રી|பெண்|స్త్రీ|মহিলা|ಮಹಿಳೆ
Other|अन्य|इतर|અન્ય|மற்றவை|ఇతర|অন্যান্য|ಇತರೆ
Prefer not to say|बताना नहीं चाहते|सांगू इच्छित नाही|જણાવવા માંગતા નથી|கூற விரும்பவில்லை|చెప్పదలచుకోలేదు|বলতে চাই না|ಹೇಳಲು ಬಯಸುವುದಿಲ್ಲ
Minority|अल्पसंख्यक|अल्पसंख्याक|લઘુમતી|சிறுபான்மையினர்|మైనారిటీ|সংখ্যালঘু|ಅಲ್ಪಸಂಖ್ಯಾತ
General|सामान्य|सर्वसाधारण|સામાન્ય|பொதுப் பிரிவு|సాధారణ|সাধারণ|ಸಾಮಾನ್ಯ
Urban|शहरी|शहरी|શહેરી|நகர்ப்புறம்|పట్టణ|শহরাঞ্চল|ನಗರ
Yes|हाँ|होय|હા|ஆம்|అవును|হ্যাঁ|ಹೌದು
No|नहीं|नाही|ના|இல்லை|కాదు|না|ಇಲ್ಲ
Personal Information|व्यक्तिगत जानकारी|वैयक्तिक माहिती|વ્યક્તિગત માહિતી|தனிப்பட்ட தகவல்|వ్యక్తిగత సమాచారం|ব্যক্তিগত তথ্য|ವೈಯಕ್ತಿಕ ಮಾಹಿತಿ
Business Details|व्यवसाय विवरण|व्यवसायाचे तपशील|વ્યવસાયની વિગતો|தொழில் விவரங்கள்|వ్యాపార వివరాలు|ব্যবসার বিবরণ|ವ್ಯಾಪಾರದ ವಿವರಗಳು
Other Details|अन्य विवरण|इतर तपशील|અન્ય વિગતો|பிற விவரங்கள்|ఇతర వివరాలు|অন্যান্য বিবরণ|ಇತರ ವಿವರಗಳು
Review|समीक्षा|आढावा|સમીક્ષા|மதிப்பாய்வு|సమీక్ష|পর্যালোচনা|ಪರಿಶೀಲನೆ
Results|परिणाम|निकाल|પરિણામો|முடிவுகள்|ఫలితాలు|ফলাফল|ಫಲಿತಾಂಶಗಳು
Get Matches|मिलती योजनाएँ देखें|जुळणाऱ्या योजना पाहा|મેળ ખાતી યોજનાઓ જુઓ|பொருந்தும் திட்டங்கள்|సరిపోలే పథకాలు|মিলযুক্ত প্রকল্প দেখুন|ಹೊಂದುವ ಯೋಜನೆಗಳನ್ನು ನೋಡಿ
Business Type|व्यवसाय का प्रकार|व्यवसायाचा प्रकार|વ્યવસાયનો પ્રકાર|தொழில் வகை|వ్యాపార రకం|ব্যবসার ধরন|ವ್ಯಾಪಾರದ ವಿಧ
Business Activity|व्यवसाय गतिविधि|व्यवसायातील काम|વ્યવસાયની પ્રવૃત્તિ|தொழில் செயல்பாடு|వ్యాపార కార్యకలాపం|ব্যবসায়িক কার্যকলাপ|ವ್ಯಾಪಾರ ಚಟುವಟಿಕೆ
Business Stage|व्यवसाय का चरण|व्यवसायाचा टप्पा|વ્યવસાયનો તબક્કો|தொழில் நிலை|వ్యాపార దశ|ব্যবসার পর্যায়|ವ್ಯಾಪಾರದ ಹಂತ
Years in Business|व्यवसाय के वर्ष|व्यवसायाची वर्षे|વ્યવસાયનાં વર્ષો|தொழில் செய்த ஆண்டுகள்|వ్యాపారంలో సంవత్సరాలు|ব্যবসার সময়কাল|ವ್ಯಾಪಾರದ ವರ್ಷಗಳು
Annual Turnover|वार्षिक कारोबार|वार्षिक उलाढाल|વાર્ષિક ટર્નઓવર|ஆண்டு விற்றுமுதல்|వార్షిక టర్నోవర్|বার্ষিক লেনদেন|ವಾರ್ಷಿಕ ವಹಿವಾಟು
Number of Employees|कर्मचारियों की संख्या|कर्मचाऱ्यांची संख्या|કર્મચારીઓની સંખ્યા|பணியாளர் எண்ணிக்கை|ఉద్యోగుల సంఖ్య|কর্মীর সংখ্যা|ಉದ್ಯೋಗಿಗಳ ಸಂಖ್ಯೆ
Annual Income|वार्षिक आय|वार्षिक उत्पन्न|વાર્ષિક આવક|ஆண்டு வருமானம்|వార్షిక ఆదాయం|বার্ষিক আয়|ವಾರ್ಷಿಕ ಆದಾಯ
Registered Business|पंजीकृत व्यवसाय|नोंदणीकृत व्यवसाय|નોંધાયેલ વ્યવસાય|பதிவுசெய்த தொழில்|నమోదైన వ్యాపారం|নিবন্ধিত ব্যবসা|ನೋಂದಾಯಿತ ವ್ಯಾಪಾರ
Funding Required|आवश्यक धनराशि|आवश्यक निधी|જરૂરી ભંડોળ|தேவையான நிதி|అవసరమైన నిధులు|প্রয়োজনীয় অর্থ|ಅಗತ್ಯ ಹಣ
Preferred Support|पसंदीदा सहायता|हवी असलेली मदत|પસંદગીની સહાય|விரும்பும் உதவி|కోరుకునే సహాయం|পছন্দের সহায়তা|ಆದ್ಯತೆಯ ನೆರವು
Interested Scheme Type|योजना का इच्छित प्रकार|हव्या असलेल्या योजनेचा प्रकार|ઇચ્છિત યોજનાનો પ્રકાર|விரும்பும் திட்ட வகை|కోరుకునే పథకం రకం|পছন্দের প্রকল্পের ধরন|ಆಸಕ್ತಿಯ ಯೋಜನೆಯ ವಿಧ
Previous government scheme?|पहले सरकारी योजना का लाभ लिया है?|यापूर्वी शासकीय योजनेचा लाभ घेतला आहे?|અગાઉ સરકારી યોજનાનો લાભ લીધો છે?|முன்பு அரசுத் திட்டப் பயன் பெற்றீர்களா?|ఇంతకుముందు ప్రభుత్వ పథకం పొందారా?|আগে সরকারি প্রকল্পের সুবিধা পেয়েছেন?|ಹಿಂದೆ ಸರ್ಕಾರಿ ಯೋಜನೆಯ ಪ್ರಯೋಜನ ಪಡೆದಿದ್ದೀರಾ?
Manufacturing|विनिर्माण|उत्पादन|ઉત્પાદન|உற்பத்தி|తయారీ|উৎপাদন|ತಯಾರಿಕೆ
Service|सेवा|सेवा|સેવા|சேவை|సేవ|পরিষেবা|ಸೇವೆ
Trading|व्यापार|व्यापार|વેપાર|வர்த்தகம்|వాణిజ్యం|বাণিজ্য|ವಾಣಿಜ್ಯ
Agriculture|कृषि|शेती|કૃષિ|விவசாயம்|వ్యవసాయం|কৃষি|ಕೃಷಿ
Retail|खुदरा व्यापार|किरकोळ विक्री|છૂટક વેપાર|சில்லறை வணிகம்|చిల్లర వ్యాపారం|খুচরো ব্যবসা|ಚಿಲ್ಲರೆ ವ್ಯಾಪಾರ
Loan|ऋण|कर्ज|લોન|கடன்|రుణం|ঋণ|ಸಾಲ
Subsidy|सब्सिडी|अनुदान|સબસિડી|மானியம்|సబ్సిడీ|ভর্তুকি|ಸಬ್ಸಿಡಿ
Grant|अनुदान|अनुदान|અનુદાન|நிதியுதவி|గ్రాంట్|অনুদান|ಅನುದಾನ
Training|प्रशिक्षण|प्रशिक्षण|તાલીમ|பயிற்சி|శిక్షణ|প্রশিক্ষণ|ತರಬೇತಿ
Skill Development|कौशल विकास|कौशल्य विकास|કૌશલ્ય વિકાસ|திறன் மேம்பாடு|నైపుణ్యాభివృద్ధి|দক্ষতা উন্নয়ন|ಕೌಶಲ್ಯ ಅಭಿವೃದ್ಧಿ
Financial Assistance|वित्तीय सहायता|आर्थिक सहाय्य|નાણાકીય સહાય|நிதி உதவி|ఆర్థిక సహాయం|আর্থিক সহায়তা|ಆರ್ಥಿಕ ನೆರವು
Business Loan|व्यवसाय ऋण|व्यवसाय कर्ज|વ્યવસાય લોન|தொழில் கடன்|వ్యాపార రుణం|ব্যবসায়িক ঋণ|ವ್ಯಾಪಾರ ಸಾಲ
Marketing Support|विपणन सहायता|विपणन सहाय्य|માર્કેટિંગ સહાય|சந்தைப்படுத்தல் உதவி|మార్కెటింగ్ సహాయం|বিপণন সহায়তা|ಮಾರುಕಟ್ಟೆ ನೆರವು
Infrastructure Support|बुनियादी ढाँचा सहायता|पायाभूत सुविधा सहाय्य|માળખાકીય સહાય|உள்கட்டமைப்பு உதவி|మౌలిక వసతుల సహాయం|পরিকাঠামো সহায়তা|ಮೂಲಸೌಕರ್ಯ ನೆರವು
Not sure yet|अभी निश्चित नहीं|अजून निश्चित नाही|હજી નક્કી નથી|இன்னும் தெரியவில்லை|ఇంకా నిర్ణయించలేదు|এখনও নিশ্চিত নই|ಇನ್ನೂ ನಿರ್ಧರಿಸಿಲ್ಲ
Select|चुनें|निवडा|પસંદ કરો|தேர்ந்தெடுக்கவும்|ఎంచుకోండి|নির্বাচন করুন|ಆಯ್ಕೆಮಾಡಿ
All|सभी|सर्व|બધા|அனைத்தும்|అన్నీ|সব|ಎಲ್ಲಾ
Guides|मार्गदर्शिकाएँ|मार्गदर्शक|માર્ગદર્શિકાઓ|வழிகாட்டிகள்|మార్గదర్శకాలు|নির্দেশিকা|ಮಾರ್ಗದರ್ಶಿಗಳು
Application|आवेदन|अर्ज|અરજી|விண்ணப்பம்|దరఖాస్తు|আবেদন|ಅರ್ಜಿ
Document checklist|दस्तावेज़ सूची|कागदपत्रांची यादी|દસ્તાવેજોની યાદી|ஆவணப் பட்டியல்|పత్రాల జాబితా|নথির তালিকা|ದಾಖಲೆಗಳ ಪಟ್ಟಿ
Identity proof|पहचान प्रमाण|ओळखपत्र|ઓળખનો પુરાવો|அடையாளச் சான்று|గుర్తింపు రుజువు|পরিচয়পত্র|ಗುರುತಿನ ಪುರಾವೆ
